Time,Open,High,Low,Last,Change,Volume
12/08/2017,62.92,63.396,62.252,63.026,0.778,17342000
12/07/2017,62.4,63.726,62.21,62.248,-0.404,23902500
12/06/2017,60.02,62.67801,60,62.652,1.912,35976500
12/05/2017,60.4,61.6,60.2,60.74,-0.3,23232500
12/04/2017,61.3,61.653,60.122,61.04,-0.266,29175500
12/01/2017,61.088,62.064,61.01,61.306,-0.464,21464000
11/30/2017,61.712,62.14,60.908,61.77,0.262,21757500
11/29/2017,63.46,63.6,60.246,61.508,-2.002,43836500
11/28/2017,63.272,64,62.784,63.51,0.148,24747000
11/27/2017,62.65,63.468,61.902,63.362,0.252,22779000
11/24/2017,62.758,63.282,62.2,63.11,0.59,16220000
11/22/2017,63.354,63.484,62.368,62.52,-1.042,24588000
11/21/2017,62.172,63.646,61.742,63.562,1.814,36306000
11/20/2017,62.758,63.1,60.95,61.748,-1.262,41238000
11/17/2017,65.134,65.33401,62.63,63.01,0.51,68675496
11/16/2017,62.798,63.628,62.26,62.5,0.24,29110000
11/15/2017,61.202,62.498,60.3,62.26,0.52,29893000
11/14/2017,63,63.27,61.38,61.74,-1.34,28380000
11/13/2017,60.026,63.36,59.822,63.08,2.482,37924500
11/10/2017,60.5,61.672,60.37,60.598,0,23127000
11/09/2017,60.5,60.892,59.26,60.598,-0.28,27235500
11/08/2017,61.1,61.378,60.26,60.878,-0.332,23626000
11/07/2017,60.204,61.3,60.006,61.21,0.654,26471000
11/06/2017,61.4,61.5,59.802,60.556,-0.662,32430000
11/03/2017,59.9,61.25,59.026,61.218,1.366,44469500
11/02/2017,60.026,61.738,58.526,59.852,-4.364,98957000
11/01/2017,66.45,66.522,64.052,64.216,-2.09,42286500
10/31/2017,64.04601,66.39001,64.036,66.306,2.29,28361500
10/30/2017,63.836,64.756,63.45,64.016,-0.158,21271500
10/27/2017,63.764,64.918,63.332,64.174,-1.06,34898500
10/26/2017,65.556,66.04601,64.64001,65.234,0.066,25117500
10/25/2017,67.34,67.5,64.712,65.168,-2.3,42970000
10/24/2017,67.76,68.56,67.232,67.468,0.064,22458000
10/23/2017,69.97601,69.99001,67.25,67.404,-1.616,28736500
10/20/2017,70.538,70.91,68.868,69.02,-1.342,24651500
10/19/2017,71.112,71.43,69.64001,70.362,-1.568,25309000
10/18/2017,71.194,72.6,70.826,71.93,0.78,24695000
10/17/2017,70.182,71.244,70.014,71.15,1.03,16466500
10/16/2017,70.75201,70.896,69.432,70.12,-0.99401,26877000
10/13/2017,71.396,71.698,70.736,71.11401,-0.02199,17702500
10/12/2017,70.59,71.956,70.52801,71.136,0.21599,20435000
10/11/2017,70.77801,71.52,70.23,70.92001,-0.19799,22504000
10/10/2017,69.36,71.126,69.106,71.118,2.52999,34892000
10/09/2017,69.93,70.35,68.534,68.58801,-2.78799,37468000
10/06/2017,70.62,72.02,70.45,71.376,0.31,21487000
10/05/2017,71.2,71.487,70.27,71.066,0.06399,20858000
10/04/2017,70.25,71.724,69.92001,71.00201,1.374,40817500
10/03/2017,67.18,69.71,66.256,69.62801,1.32201,50767500
10/02/2017,68.504,68.74001,67.10201,68.306,0.086,26433500
09/29/2017,68.372,68.936,67.72,68.22,0.29999,25535000
09/28/2017,67.97601,68.55,67.08,67.92001,-0.27399,26598000
09/27/2017,69.98,70.298,68.1,68.194,-0.856,30301500
09/26/2017,70.186,70.248,68.18,69.05,0.052,35781000
09/25/2017,70.63,71.494,68.576,68.998,-1.22,38029500
09/22/2017,73.298,73.98,70.176,70.218,-3.07801,40797000
09/21/2017,74.98,75.366,72.902,73.29601,-1.486,23090500
09/20/2017,74.6,75.65,74.214,74.78201,-0.23799,24595000
09/19/2017,76,76.478,74.714,75.02,-1.98,32259000
09/18/2017,76.05,77.922,75.536,77,1.038,35939500
09/15/2017,74.902,76,74.54,75.962,0.43399,27102000
09/14/2017,72.866,75.592,72.526,75.52801,2.28201,36012500
09/13/2017,72.764,73.61401,71.918,73.246,0.696,20926000
09/12/2017,72.898,73.75201,72.08,72.55,-0.188,29864500
09/11/2017,70.27,72.742,70,72.738,4.058,38335000
09/08/2017,69.798,69.956,68.46,68.68,-1.442,16317500
09/07/2017,69.19601,70.496,68.69,70.122,1.216,21196000
09/06/2017,69.9,70.19601,68.312,68.906,-1.012,20456500
09/05/2017,70.76,71.098,69.178,69.918,-1.162,19241500
09/01/2017,71.224,71.518,70.738,71.08,-0.1,15247500
08/31/2017,70.71,71.688,70.564,71.18,0.544,20363500
08/30/2017,69.93401,70.694,69.4,70.636,1.164,17064500
08/29/2017,67.896,69.81,67.75,69.472,0.34,20367000
08/28/2017,69.456,69.47,67.944,69.132,-0.478,18819500
08/25/2017,70.848,71.138,69.46,69.61,-0.976,17419500
08/24/2017,70.504,71.332,69.948,70.586,0.032,22923000
08/23/2017,67.798,70.698,67.66,70.554,2.284,24772500
08/22/2017,68.22601,68.448,67.474,68.27,0.698,21609500
08/21/2017,69.164,69.164,66.37,67.572,-1.92,32477000
08/18/2017,70.582,70.8,69.16,69.492,-0.892,27040500
08/17/2017,72.242,72.66,70.318,70.384,-2.198,25138000
08/16/2017,72.6,73.3,72.504,72.582,0.116,17068500
08/15/2017,73.04,73.098,71.874,72.466,-0.294,15425000
08/14/2017,72.926,73.53201,72.52,72.76,1.186,22595500
08/11/2017,71.394,72.25201,70.724,71.574,0.494,21828500
08/10/2017,72.32,73.33,70.932,71.08,-1.626,35464000
08/09/2017,72.2,74,71.79,72.706,-0.338,34460000
08/08/2017,71.506,73.716,71.48,73.044,2.01,37249000
08/07/2017,71.47,71.896,70.55,71.034,-0.348,31622000
08/04/2017,69.4,71.454,68.66,71.382,1.964,46344500
08/03/2017,69.066,70,68.63,69.418,4.24,67675000
08/02/2017,63.788,65.424,62.244,65.178,1.264,65457000
08/01/2017,64.6,64.89001,63.226,63.914,-0.78,41515500
07/31/2017,67.1,68.298,64.208,64.694,-2.32,42675500
07/28/2017,67.37801,67.92001,66.50201,67.014,0.122,24402000
07/27/2017,69.2,69.5,65.258,66.892,-1.878,41512000
07/26/2017,68.072,69.1,67.624,68.77,0.84999,24103500
07/25/2017,69,69.12,66.83,67.92001,-0.58399,34945500
07/24/2017,66.048,68.68,66.00201,68.504,2.824,43185000
07/21/2017,65.892,66.25201,65.16,65.68,-0.304,24508000
07/20/2017,65.38,66.044,64.84,65.984,0.932,25830500
07/19/2017,65.646,66.33,64.644,65.052,-0.596,31785000
07/18/2017,63.5,65.826,63.132,65.648,1.734,31868500
07/17/2017,65.108,65.42001,62.69,63.914,-1.642,49384500
07/14/2017,64.638,65.68401,64.244,65.556,0.874,28126000
07/13/2017,66.022,66.32,63.994,64.682,-1.222,42972000
07/12/2017,66.08,66.62,64.9,65.904,0.46,51730500
07/11/2017,63.2,65.456,62.86,65.444,2.234,57797000
07/10/2017,62.58,63.588,60.626,63.21,0.566,69104000
07/07/2017,62.7,63.4,61.476,62.644,0.878,70884496
07/06/2017,63.452,64.158,61.26,61.766,-3.652,96622000
07/05/2017,69.44,69.448,65.266,65.418,-5.106,85233496
07/03/2017,74.048,74.27,70.3,70.524,-1.798,31527000
06/30/2017,72.742,73.354,71.924,72.322,0.172,29242500
06/29/2017,74.122,74.2,70.82,72.15,-2.098,41105000
06/28/2017,73.336,74.348,72.504,74.248,1.774,31512000
06/27/2017,75.28,75.28,72.404,72.474,-3.024,34981500
06/26/2017,77.33801,77.39001,74.62,75.498,-1.192,33020000
